公司,竞对类型,国家/市场,核心产品,目标客户,收入规模,相关业务收入,毛利率/利润率,市占率/排名,技术/成本/渠道优势,与目标公司差距,对目标公司的威胁,数据日期/报告期,口径,来源,证据等级
寒武纪,目标公司,中国A股,MLU云端AI芯片板卡系统及软件平台,云厂商运营商互联网金融及大型机构,64.97亿元,云端产品线64.77亿元,整体毛利率55.15%,统一市场份额和排名无法判断,专注AI芯片且已实现规模收入和盈利,当前主力同负载技术水位及复购仍不透明,不适用,2025财年,公司整体及分产品线,reports/2025_annual.pdf,A
华为昇腾,国内直接竞对,中国,AI模块板卡服务器集群及CANN,政企运营商云和大型算力中心,未单列,未单列,未单列,无法判断,ICT整机网络渠道工程和软件全栈,寒武纪更独立但华为系统交付边界更宽,无法精确评级；预算高度重合且系统协同压力明确,截至2026-07-15,产品体系；无同口径公开财务,华为昇腾官网,B
阿里平头哥,国内直接竞对/云端全栈,中国云计算,规模生产GPU及训练微调推理云服务,阿里内部业务及阿里云外部客户,阿里巴巴集团口径不用于比较,自研GPU收入未单列,未单列,无法判断,芯片与阿里云通义PAI和MaaS协同并掌握真实负载,寒武纪可服务多云私有化；平头哥可把芯片价值内部化,无法精确评级；工作负载重合且云服务替代机制明确,FY2026,集团法定年报；GPU业务未拆分,阿里巴巴FY2026年报,A
海光信息,国内直接竞对,中国A股,CPU与DCU,政企数据中心和国产算力客户,143.77亿元,DCU收入未单列,公司整体利润率不能替代DCU口径,DCU市占率无法判断,CPU与DCU协同及系统生态,寒武纪更专注AI；海光DCU相关财务和同负载数据未拆,无法精确评级；客户预算重合,2025财年,公司整体含CPU不可直接比较,海光信息2025年报,A
摩尔线程,国内直接竞对,中国A股,全功能GPU及MUSA,AI图形科学计算数字孪生和云客户,15.06亿元,云端产品约14.61亿元,整体毛利率65.57%；归母亏损10.01亿元,统一份额和排名无法判断,一套GPU覆盖多类工作负载,寒武纪收入利润规模更大；双方当前同负载水位不完整,无法精确评级；产品边界更广但现金耐力仍需验证,2025财年,公司整体及云端产品线,摩尔线程2025年报,A
沐曦股份,国内直接竞对,中国A股,通用GPU及软件栈,训练推理通用计算和数据中心客户,16.44亿元,相关GPU收入未在本表精确拆分,整体毛利率56.51%；归母亏损7.89亿元,统一份额和排名无法判断,通用GPU路线和生态兼容,寒武纪收入利润规模更大；沐曦产品级复购仍待验证,无法精确评级；直接争夺国产AI计算项目,2025财年,公司整体,沐曦股份2025年报,A
壁仞燧原天数智芯等,国内直接或潜在竞对,中国,训练推理芯片或GPU,国内云政企和智算客户,多数未取得同口径,多数未取得同口径,无法判断,无法判断,多种架构路线和客户关系,公开财务客户和量产透明度低,无法精确评级；合计竞争不可忽略,截至2026-07-15,公司官网和公开资料,各公司官网及公开资料,B/C
NVIDIA,国外直接标杆,全球,GPU CUDA NVLink网络和AI系统,全球云厂商企业科研和数据中心,FY2026总收入约2159亿美元,数据中心约1937亿美元,相关毛利率未在本表拆分,全球具体AI加速份额未在本表验证,CUDA开发者生态芯片互联网络整机全栈,寒武纪有国内供应连续性；NVIDIA全球生态和验证规模更广,无法精确评级；定义全球技术和生态标尺但国内可获得性受限,FY2026,美元；公司总收入与数据中心业务,NVIDIA FY2026年报,A
AMD,国外直接标杆,全球,Instinct GPU ROCm及CPU平台,全球云企业科研和数据中心,2025总收入346.39亿美元,数据中心收入166.35亿美元且含EPYC CPU,数据中心经营利润36.03亿美元,AI GPU份额无法从分部数据单列,Instinct与ROCm及CPU平台协同,寒武纪有国内供应连续性；AMD全球产品和客户验证更广,无法精确评级；提供全球第二套高性能GPU路线,2025财年,美元；数据中心含CPU,AMD 2025年报,A
其他云厂商自研芯片,潜在竞对,全球,TPU Trainium及内部ASIC/GPU,超大规模云内部和外部云客户,各集团口径不直接比较,芯片收入多不单列,无法判断,无法判断,掌握模型负载资本和客户渠道,寒武纪可跨客户分摊研发；云厂商可内部化需求,无法精确评级；会减少外购并增强议价,截至2026-07-15,方案级比较；不含已列直接竞对的平头哥,各公司官方资料,B
CPU FPGA公有云算力及模型API,横向竞对或替代,全球,通用计算可重构硬件或按需服务,小规模低延迟定制或不愿自建客户,不适用,不适用,不适用,不适用,特定场景迁移成本或前期资本开支更低,不能覆盖所有大规模训练但会分流部分预算,无法精确评级；场景决定替代强弱,截至2026-07-15,方案级比较,厂商资料和行业逻辑,B/C
