报告期,单季收入,收入同比,收入环比,单季毛利率,单季归母净利润,归母同比,归母环比,扣非归母净利润,期间费用率,研发费用率,单位,口径,来源,证据等级
2024Q1,747.77,-0.22%,9.33%,16.61%,62.61,15.05%,26.37%,62.24,4.14%,0.44%,亿元,一季报累计数即单季数,2024Q1季报,A
2024Q2,756.40,0.33%,1.15%,21.67%,88.24,81.54%,40.93%,92.09,3.62%,0.51%,亿元,半年报累计数减一季报；合并范围及会计期间一致,2024H1与2024Q1差分,A
2024Q3,799.80,7.11%,5.74%,20.24%,92.73,58.17%,5.09%,83.14,4.05%,0.56%,亿元,三季报累计数减半年报；合并范围及会计期间一致,2024Q3与2024H1差分,A
2024Q4,732.43,7.09%,-8.42%,23.02%,76.93,55.28%,-17.04%,79.45,4.10%,0.59%,亿元,年报累计数减三季报；A股无单独Q4季报,2024年报与2024Q3差分,A
2025Q1,789.28,5.55%,7.76%,22.89%,101.67,62.39%,32.15%,98.81,4.10%,0.42%,亿元,一季报累计数即单季数,2025Q1季报,A
2025Q2,887.83,17.38%,12.49%,24.52%,131.25,48.75%,29.10%,117.43,3.75%,0.47%,亿元,半年报累计数减一季报,2025H1与2025Q1差分,A
2025Q3,864.89,8.14%,-2.58%,27.23%,145.72,57.14%,11.02%,125.03,4.45%,0.47%,亿元,三季报累计数减半年报,2025Q3与2025H1差分,A
2025Q4,948.80,29.54%,9.70%,35.21%,139.14,80.86%,-4.52%,165.97,5.68%,0.58%,亿元,年报累计数减三季报；A股无单独Q4季报,2025年报与2025Q3差分,A
2026Q1,984.98,24.79%,3.81%,36.33%,200.79,97.50%,44.31%,184.59,4.53%,0.37%,亿元,一季报累计数即单季数,2026Q1季报,A
